scenario_id,replica,domain,endpoint,role,purpose,field_family,same_jurisdiction,object_relation,consent_active,consent_scope_valid,emergency,group_size,returned_fields,aggregate_returned,audit_marker,violation_family,expected_violation,expected_behavior,risk
benefits_000_1_purpose_violation,0,benefits,GET /benefits/{case_id}/r000,case_worker,routine_lookup,household_income,True,True,True,True,False,24,"['id', 'status', 'household_income']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,58.5
benefits_001_1_purpose_violation,1,benefits,GET /benefits/{case_id}/r001,case_worker,routine_lookup,household_income,True,True,True,True,False,25,"['id', 'household_income']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,60.3
benefits_002_1_purpose_violation,2,benefits,GET /benefits/{case_id}/r002,case_worker,routine_lookup,household_income,True,True,True,True,False,26,"['id', 'status', 'household_income']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,62.1
benefits_003_1_purpose_violation,3,benefits,GET /benefits/{case_id}/r003,case_worker,routine_lookup,household_income,True,True,True,True,False,27,"['id', 'household_income', 'last_update']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,63.9
benefits_004_1_purpose_violation,4,benefits,GET /benefits/{case_id}/r004,case_worker,routine_lookup,household_income,True,True,True,True,False,28,"['id', 'status', 'household_income']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,58.5
benefits_005_1_purpose_violation,5,benefits,GET /benefits/{case_id}/r005,case_worker,routine_lookup,household_income,True,True,True,True,False,29,"['id', 'household_income']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,60.3
benefits_006_1_purpose_violation,6,benefits,GET /benefits/{case_id}/r006,case_worker,routine_lookup,household_income,True,True,True,True,False,30,"['id', 'status', 'household_income', 'case_stage']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,62.1
benefits_007_1_purpose_violation,7,benefits,GET /benefits/{case_id}/r007,case_worker,routine_lookup,household_income,True,True,True,True,False,31,"['id', 'household_income']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,63.9
benefits_008_1_purpose_violation,8,benefits,GET /benefits/{case_id}/r008,case_worker,routine_lookup,household_income,True,True,True,True,False,32,"['id', 'status', 'household_income']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,58.5
benefits_009_1_purpose_violation,9,benefits,GET /benefits/{case_id}/r009,case_worker,routine_lookup,household_income,True,True,True,True,False,33,"['id', 'household_income', 'review_flag']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,60.3
benefits_010_1_purpose_violation,10,benefits,GET /benefits/{case_id}/r010,case_worker,routine_lookup,household_income,True,True,True,True,False,34,"['id', 'status', 'household_income']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,62.1
benefits_011_1_purpose_violation,11,benefits,GET /benefits/{case_id}/r011,case_worker,routine_lookup,household_income,True,True,True,True,False,24,"['id', 'household_income']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,63.9
benefits_012_1_purpose_violation,12,benefits,GET /benefits/{case_id}/r012,case_worker,routine_lookup,household_income,True,True,True,True,False,25,"['id', 'status', 'household_income', 'source_agency']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,58.5
benefits_013_1_purpose_violation,13,benefits,GET /benefits/{case_id}/r013,case_worker,routine_lookup,household_income,True,True,True,True,False,26,"['id', 'household_income']",False,standard,purpose_conditioned_field,True,suppress purpose-restricted field,60.3
benefits_000_1_jurisdiction_violation,0,benefits,GET /benefits/{case_id}/r000,case_worker,appeal_review,household_income,False,True,True,True,False,22,"['id', 'status', 'precise_address', 'household_income']",False,standard,jurisdiction_conditioned_field,True,coarsen cross-jurisdiction response,67.5
benefits_001_1_jurisdiction_violation,1,benefits,GET /benefits/{case_id}/r001,case_worker,appeal_review,household_income,False,True,True,True,False,23,"['id', 'precise_address', 'household_income']",False,standard,jurisdiction_conditioned_field,True,coarsen cross-jurisdiction response,68.85
benefits_002_1_jurisdiction_violation,2,benefits,GET /benefits/{case_id}/r002,case_worker,appeal_review,household_income,False,True,True,True,False,24,"['id', 'status', 'precise_address', 'household_income']",False,standard,jurisdiction_conditioned_field,True,coarsen cross-jurisdiction response,70.2
benefits_003_1_jurisdiction_violation,3,benefits,GET /benefits/{case_id}/r003,case_worker,appeal_review,household_income,False,True,True,True,False,25,"['id', 'precise_address', 'household_income', 'last_update']",False,standard,jurisdiction_conditioned_field,True,coarsen cross-jurisdiction response,71.55
benefits_004_1_jurisdiction_violation,4,benefits,GET /benefits/{case_id}/r004,case_worker,appeal_review,household_income,False,True,True,True,False,26,"['id', 'status', 'precise_address', 'household_income']",False,standard,jurisdiction_conditioned_field,True,coarsen cross-jurisdiction response,72.9
